Date,Name,Year,Letterboxd URI,Tagline,Flags,Runtime,Poster,Cursed,Spooky,Cozy
9/2/2025,Tremors,1990,https://boxd.it/1YSe,"Desert town vs hungry underground monsters and two handymen who refuse to be lunch.",creature-feature desert buddy-comedy,96,https://boxd.it/1YSe,20,40,70
9/2/2025,Friday the 13th Part VIII: Jason Takes Manhattan,1989,https://boxd.it/1WDm,"Graduation cruise drifts into a Manhattan-sized mistake named Jason.",slasher franchise 80s,100,https://boxd.it/1WDm,25,80,10
9/2/2025,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,https://boxd.it/1TZk,"Rockstar neurosurgeon physicist saves the world between gigs and dimensions.",cult sci-fi absurd ensemble,103,https://boxd.it/1TZk,55,10,60
9/2/2025,Zardoz,1974,https://boxd.it/23Fa,"A barbarian infiltrates an immortal utopia and breaks their pretty terrarium.",science-fantasy dystopia cult weird-core,102,https://boxd.it/23Fa,80,10,15
9/2/2025,Starcrash,1978,https://boxd.it/1B88,"Space pulp pinball with killer robots, psychic princes, and disco starfields.",space-opera eurotrash camp,94,https://boxd.it/1B88,40,15,45
9/2/2025,Liquid Sky,1982,https://boxd.it/1CBA,"Tiny UFO harvests orgasm chemicals in the neon art scene.",new-wave alien punk downtown,112,https://boxd.it/1CBA,75,25,20
9/2/2025,The Beyond,1981,https://boxd.it/1FtY,"A cursed hotel opens one of the seven gates of hell and never closes it properly.",italo-horror occult gore,87,https://boxd.it/1FtY,85,90,5
9/2/2025,Mad Doctor of Blood Island,1969,https://boxd.it/2QHk,"Island experiments turn bodies into chlorophyll nightmares.",drive-in exploitation philippines,85,https://boxd.it/2QHk,60,55,10
9/2/2025,White Fire,1984,https://boxd.it/3aFe,"Diamonds, siblings, and a flamethrower named plot.",action-trash eurocrime insane,101,https://boxd.it/3aFe,50,10,15
9/2/2025,Yokai Monsters: 100 Monsters,1968,https://boxd.it/3dA2,"Folk spirits crash a corrupt landlord’s party with practical-effects mischief.",yokai folklore tokusatsu,80,https://boxd.it/3dA2,30,35,65
9/2/2025,WNUF Halloween Special,2013,https://boxd.it/6ili,"’87 local-news Halloween broadcast spirals into a cursed infomercial for panic.",analog-horror faux-broadcast 80s,83,https://boxd.it/6ili,50,50,40
9/2/2025,The Cornshukker,1997,https://boxd.it/fMt0,"Rural myth-thing defends its patch of earth from small-town cruelty.",regional-weird folk-horror microbudget,63,https://boxd.it/fMt0,75,45,20
9/2/2025,American Guinea Pig: The Song of Solomon,2017,https://boxd.it/hn4y,"Exorcism as endurance art where faith bleeds in close-up.",extreme-horror splatter possession,86,https://boxd.it/hn4y,85,95,0
9/2/2025,The Wolf House,2018,https://boxd.it/i1vE,"Stop-motion fairy tale from a cult’s point of view, rotting in real time.",surreal animation cult-horror,75,https://boxd.it/i1vE,95,80,5
